연번,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도
1,영등포구,가로1-1,서울특별시 영등포구 국회대로 675,안상규벌꿀 앞,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
2,영등포구,가로1-1,서울특별시 영등포구 국회대로 675,안상규벌꿀 앞,⑥ 횡단보도 입구,② 재활용쓰레기,① 일반 사각쓰레기통,2019
3,영등포구,가로1-10,서울특별시 영등포구 당산로 235,당산역 2번출구 버스정류장(19-645),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
4,영등포구,가로1-10,서울특별시 영등포구 당산로 235,당산역 2번출구 버스정류장(19-645),"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
5,영등포구,가로1-11,서울특별시 영등포구 양평로 36,당산역 7번 출구 뒤,② 지하철역 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
6,영등포구,가로1-11,서울특별시 영등포구 양평로 36,당산역 7번 출구 뒤,② 지하철역 입구,② 재활용쓰레기,① 일반 사각쓰레기통,2019
7,영등포구,가로1-12,서울특별시 영등포구 당산로 223,올리브 영 앞,② 지하철역 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
8,영등포구,가로1-12,서울특별시 영등포구 당산로 223,올리브 영 앞,② 지하철역 입구,② 재활용쓰레기,① 일반 사각쓰레기통,2019
9,영등포구,가로1-16,서울특별시 영등포구 양평로 64,gs편의점 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
10,영등포구,가로1-18,서울특별시 영등포구 양평로 36,당산역 7번 출구 뒤,② 지하철역 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
11,영등포구,가로1-18,서울특별시 영등포구 양평로 36,당산역 7번 출구 뒤,② 지하철역 입구,② 재활용쓰레기,① 일반 사각쓰레기통,2019
12,영등포구,가로1-19,서울특별시 영등포구 양평로 24-1,o&k 빌딩 앞 버스정류장(19-175),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
13,영등포구,가로1-19,서울특별시 영등포구 양평로 24-1,o&k 빌딩 앞 버스정류장(19-175),"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
14,영등포구,가로1-20,서울특별시 영등포구 당산로 222,당산역 10번출구 소공원,② 지하철역 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
15,영등포구,가로1-21,서울특별시 영등포구 당산로 222,당산역 10번출구 소공원,② 지하철역 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
16,영등포구,가로1-22,서울특별시 영등포구 당산로 222,당산역 10번출구 소공원,② 지하철역 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
17,영등포구,가로1-3,서울특별시 영등포구 영중로 55,영등포시장 버스정류장(19-120),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
18,영등포구,가로1-3,서울특별시 영등포구 영중로 55,영등포시장 버스정류장(19-120),"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
19,영등포구,가로1-4,서울특별시 영등포구 영중로 122,서강 어린이 공원 앞,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
20,영등포구,가로1-4,서울특별시 영등포구 영중로 122,서강 어린이 공원 앞,⑥ 횡단보도 입구,② 재활용쓰레기,① 일반 사각쓰레기통,2019
21,영등포구,가로1-5,서울특별시 영등포구 양평로 135,C & V 앞,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
22,영등포구,가로1-5,서울특별시 영등포구 양평로 135,C & V 앞,⑥ 횡단보도 입구,② 재활용쓰레기,① 일반 사각쓰레기통,2019
23,영등포구,가로1-6,서울특별시 영등포구 양평로 136,가족호텔 신축현장 앞,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
24,영등포구,가로1-6,서울특별시 영등포구 양평로 136,가족호텔 신축현장 앞,⑥ 횡단보도 입구,② 재활용쓰레기,① 일반 사각쓰레기통,2019
25,영등포구,가로1-8,서울특별시 영등포구 양평로 116-1,양평로 프리마트 앞,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
